Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
Tata Equity P/E Fund(G),Sonam Udasi,EQ-VAL,3,4549.6,1.97,Open Ended,29-Jun-04,S&P BSE SENSEX - TRI,160.71,170.45,103.64,-4.35,-1.84,16.12,54.43,8.46,5.09,13.8,12.59,63.06,36,149860,74.17,17.8,5.98,Financials,-,-,-,6.96,2.68,4.42,0.84,18.27,Equity : Value / Contra,Nil upto 12% on investment and 1% for rest investment on or before 12M Nil after 12M
Tata Equity Savings Fund-Reg(G),Sailesh Jain,HY-EQ,Unrated,98.6,2.31,Open Ended,27-Apr-00,NIFTY 50 Equity Savings Index,37.96,38.66,31.15,-1.13,0.57,8.57,21.54,7.59,6.72,7.02,7.34,265.95,37,213157,64.3,4.97,-,Financials,0.7,0.61,5.82,18.57,2.6,4.42,-,7.18,Hybrid : Equity Oriented,Nil upto 12% of original cost of investments and 0.25% for more than 12% on or before 90D Nil after 90D
Tata Ethical Fund-Reg(G),Ennettee Fernandes,EQ-THEM,4,801.8,2.47,Open Ended,24-May-96,Nifty 500 Shariah - TRI,221.6,230.01,138.77,-0.32,2.86,23.81,57.74,19.06,11.12,11.84,12.8,35.07,42,80753,57.49,24.12,13.64,Technology,-,-,-,23.18,3.33,5.58,0.53,14.86,Equity : Thematic,Nil upto 12% of original cost of invesment and 1% for more than 12% original cost of investment on or before 365D Nil after 365D
Tata Flexi Cap Fund-Reg(G),Sonam Udasi,EQ-MLC,Unrated,1828.8,2.19,Open Ended,6-Sep-18,S&P BSE 500 - TRI,13.1,13.79,8.8,-3.77,-2.03,14.94,45.49,11.7,-,-,-,97.22,41,145233,76.99,17.65,4.15,Financials,-,-,-,4.44,2.5,4,0.75,16.77,Equity : Multi Cap,Nil upto 12% of original cost of investments and 1% for more than 12% on or before 12M Nil after 12M
TATA FMP-53-A-1140D(G),Akhil Mittal,DT-FMP,Unrated,343.9,-,Closed Ended,22-Mar-18,Crisil Composite Bond Fund Index,12.49,12.49,11.75,0.28,0.79,1.75,6.46,7.58,7.45,-,-,0,-,-,-,-,-,-,2.45,-,-,3.53,5.57,13.1,-,0.64,Debt : FTP/FMP,null
TATA FMP-53-B-1136D(G),Akhil Mittal,DT-FMP,Unrated,80.5,-,Closed Ended,26-Mar-18,Crisil Composite Bond Fund Index,12.46,12.46,11.71,0.29,0.8,1.78,6.49,7.56,7.46,-,-,0,-,-,-,-,-,-,2.46,-,-,3.58,5.74,13.97,-,0.63,Debt : FTP/FMP,null
TATA FMP-54-A-1136D(G),Akhil Mittal,DT-FMP,Unrated,105.8,-,Closed Ended,21-May-18,Crisil Composite Bond Fund Index,12.6,12.6,11.8,0.3,0.84,1.83,6.89,7.74,-,-,-,0,-,-,-,-,-,-,2.55,-,-,3.98,6.09,14.24,-,0.65,Debt : FTP/FMP,null
TATA FMP-55-A-1098D(G),Akhil Mittal,DT-FMP,Unrated,241,-,Closed Ended,14-Jun-18,Crisil Liquid Fund Index,12.55,12.55,11.76,0.32,0.86,1.85,6.88,7.76,-,-,-,0,-,-,-,-,-,-,2.52,-,-,3.98,6.72,17.3,-,0.59,Debt : FTP/FMP,null
TATA FMP-55-B-1098D(G),Akhil Mittal,DT-FMP,Unrated,49.8,-,Closed Ended,28-Jun-18,CRISIL Medium Term Debt Index,12.32,12.32,11.53,0.33,0.87,1.88,7.02,7.18,-,-,-,0,-,-,-,-,-,-,2.58,-,-,4.11,6.7,15.72,-,0.61,Debt : FTP/FMP,null
TATA FMP-55-D-1100D(G),Akhil Mittal,DT-FMP,Unrated,63.4,-,Closed Ended,23-Jul-18,CRISIL Medium Term Debt Index,12.3,12.3,11.48,0.35,0.83,1.87,7.31,7.41,-,-,-,0,-,-,-,-,-,-,2.69,-,-,4.38,6.43,16.15,-,0.68,Debt : FTP/FMP,null
TATA FMP-55-E-1099D(G),Akhil Mittal,DT-FMP,Unrated,110.6,-,Closed Ended,27-Jul-18,CRISIL Medium Term Debt Index,11.39,11.39,10.46,0.67,1.92,4.25,8.44,4.38,-,-,-,0,-,-,-,-,-,-,2.76,-,-,5.44,3.71,4.7,-,1.47,Debt : FTP/FMP,null
TATA FMP-55-F-1100D(G),Akhil Mittal,DT-FMP,Unrated,97.8,-,Closed Ended,16-Aug-18,CRISIL Medium Term Debt Index,11.22,11.22,10.37,0.58,1.62,3.56,7.84,3.8,-,-,-,0,-,-,-,-,-,-,2.78,-,-,4.76,4.07,5.48,-,1.18,Debt : FTP/FMP,null
TATA FMP-55-G-1100D(G),Akhil Mittal,DT-FMP,Unrated,163.6,-,Closed Ended,27-Aug-18,CRISIL Medium Term Debt Index,12.44,12.44,11.56,0.4,0.88,2.11,7.77,8.23,-,-,-,0,-,-,-,-,-,-,2.8,-,-,4.81,6.3,15.78,-,0.76,Debt : FTP/FMP,null
TATA FMP-55-I-1113D(G),Akhil Mittal,DT-FMP,Unrated,57.8,-,Closed Ended,12-Sep-18,CRISIL Medium Term Debt Index,12.49,12.49,11.6,0.38,0.87,2.12,7.89,8.24,-,-,-,0,-,-,-,-,-,-,1.68,-,-,4.91,6.03,14.57,-,0.81,Debt : FTP/FMP,null
TATA FMP-56-A-1104D(G),Akhil Mittal,DT-FMP,Unrated,34.5,-,Closed Ended,21-Sep-18,CRISIL Medium Term Debt Index,12.46,12.46,11.6,0.36,0.82,1.91,7.59,8.08,-,-,-,0,-,-,-,-,-,-,1.33,-,-,4.64,5.75,13.49,-,0.8,Debt : FTP/FMP,null
TATA FMP-56-B-1105D(G),Akhil Mittal,DT-FMP,Unrated,34.4,-,Closed Ended,28-Sep-18,CRISIL Medium Term Debt Index,12.21,12.21,11.32,0.47,1.27,2.77,7.86,7.58,-,-,-,0,-,-,-,-,-,-,0.52,-,-,4.86,5.75,10,-,0.85,Debt : FTP/FMP,null
TATA FMP-56-C-1099D(G),Akhil Mittal,DT-FMP,Unrated,55,-,Closed Ended,11-Oct-18,CRISIL Medium Term Debt Index,12.47,12.47,11.55,0.42,0.92,2.21,8.1,8.36,-,-,-,-,-,-,-,-,-,-,-,-,-,5.14,5.8,13.77,-,0.88,Debt : FTP/FMP,null
TATA FMP-56-D-1134D(G),Akhil Mittal,DT-FMP,Unrated,24.8,-,Closed Ended,23-Oct-18,CRISIL Medium Term Debt Index,12.42,12.42,11.46,0.44,0.94,2.29,8.52,8.47,-,-,-,-,-,-,-,-,-,-,-,-,-,5.52,5.96,13.64,-,0.92,Debt : FTP/FMP,null
TATA FMP-56-F-1225D(G),Akhil Mittal,DT-FMP,Unrated,51.3,-,Closed Ended,27-Nov-18,CRISIL Medium Term Debt Index,12.45,12.45,11.45,0.61,0.86,2.16,8.86,8.98,-,-,-,-,-,-,-,-,-,-,-,-,-,5.82,5.16,10.51,-,1.14,Debt : FTP/FMP,null
Tata Focused Equity Fund-Reg(G),Rahul Singh,EQ-MLC,Unrated,1156.1,2.15,Open Ended,5-Dec-19,S&P BSE 200 - TRI,12.1,12.85,7.31,-3.68,1.89,26.04,62.93,-,-,-,-,38.5,23,212751,87.68,11.61,-,Financials,-,-,-,7.46,2.67,4.42,0.92,20,Equity : Multi Cap,Nil upto 12% of original cost of invesment and 1% for more than 12% original cost of investment on or before 365D Nil after 365D
Tata Gilt Securities Fund-Reg(G),Murthy Nagarajan,DT-GILT,3,298.4,1.72,Open Ended,4-Sep-99,Crisil Gilt Index,61.39,62.66,58.35,1.15,-1.55,-0.18,6.06,8.26,7.47,7.02,8.01,0,-,-,-,-,-,-,11.78,6.51,5.86,3.63,0.97,1.67,-,3.76,Debt : Gilt,Nil
Tata Hybrid Equity Fund-Reg(G),Chandraprakash Padiyar,HY-EQ,4,3298.1,1.99,Open Ended,8-Oct-95,CRISIL Hybrid 25+75 - Aggressive Index,255.57,267.59,173.06,-3.22,1.87,19.3,46.11,9.13,7.3,8.98,11.77,11.75,33,207717,58.3,11.61,7.14,Financials,4.03,2.59,5.69,39.46,2.67,4.44,-,14.93,Hybrid : Equity Oriented,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D
Tata Income Fund-Reg(G),Akhil Mittal,DT-M&LD,Unrated,56.9,1.95,Open Ended,28-Apr-97,CRISIL Medium to Long Term Debt Index,65.29,65.59,59.64,1.83,-0.18,1.39,9.76,9.51,7.68,7.15,8.08,0,-,-,-,-,-,-,7.61,4.83,6.57,6.68,2.24,3.89,-,3.01,Debt : Medium to Long Duration,1% on or before 365DNil after 365D
Tata Index Fund-Nifty Plan(G),Sonam Udasi,EQ-INDX,Unrated,125.3,0.5,Open Ended,25-Feb-03,NIFTY 50 - TRI,87.82,92.68,53.54,-3.48,-0.37,21.45,60.61,11.16,11.94,13.48,9.6,16.47,51,351702,99.72,-,-,Financials,-,-,-,3.98,2.59,4.27,0.96,20.09,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Tata Index Fund-Sensex Plan(G),Sonam Udasi,EQ-INDX,Unrated,61.9,1,Open Ended,25-Feb-03,S&P BSE SENSEX - TRI,119.22,128.18,74.43,-4.51,-2.14,18.62,56.26,11.18,12.69,13.92,9.59,23.12,30,431488,99.73,-,-,Financials,-,-,-,0.08,2.4,3.97,0.98,20.42,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Tata India Consumer Fund-Reg(G),Sonam Udasi,EQ-CONS,1,1187.8,2.27,Open Ended,28-Dec-15,NIFTY CONSUMPTION - TRI,21.44,22,14.46,-1.2,-0.39,20.15,42.43,11.55,6.22,16.98,-,59.45,27,62648,61.84,23.01,12.55,FMCG,-,-,-,8.82,2.34,3.77,0.58,16.08,Equity : Thematic - Consumption,0.25% on or before 30D
Tata India Pharma & Healthcare Fund-Reg(G),Meeta Shetty,EQ-PHRM,Unrated,435,2.63,Open Ended,28-Dec-15,NIFTY PHARMA - TRI,15.3,15.55,10.6,4.87,-0.17,10.42,43.42,30.1,20.72,9.81,-,49.14,21,37757,58.42,26.85,12.74,Healthcare,-,-,-,25.35,2.14,3.79,0.29,18.67,Equity : Sectoral - Pharma,0.25% on or before 30D
Tata India Tax Savings Fund-Reg(G),Tejas Gutka,EQ-ELSS,3,2637.2,2.03,Open Ended,13-Oct-14,S&P BSE SENSEX - TRI,22.76,24.53,14.08,-5.02,0.61,23.21,57.92,11.43,8.89,13.64,-,41.26,36,177954,78.11,9.79,8.04,Financials,-,-,-,4.66,2.56,4.22,0.92,19.84,Equity : Tax Saving (ELSS),Nil
Tata Infrastructure Fund-Reg(G),Abhinav Sharma,EQ-INFRA,4,600.8,2.54,Open Ended,31-Dec-04,S&P BSE India Infrastructure Index - TRI,70.08,73.51,39.25,-4.43,9.59,47.62,71.66,11.72,6.4,11.28,7.66,68.17,35,40421,43.96,28.8,25.07,Infrastructure,-,-,-,23.26,3.17,5.43,0.74,19.09,Equity : Sectoral - Infrastructure,0.25% on or before 30D
Tata Large & Mid Cap Fund(G),Chandraprakash Padiyar,EQ-L&M,5,2153.3,2.16,Open Ended,25-Feb-93,Nifty LargeMidcap 250 Index - TRI,273.32,288.47,166.66,-4.24,4.12,26.3,64.35,15.74,11.8,13.27,12.9,25.15,36,107820,53.67,35.37,6.63,Financials,-,-,-,13.05,2.98,4.93,0.81,17.98,Equity : Large & Mid Cap,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D
Tata Large Cap Fund(G),Amey Sathe,EQ-LC,2,892.4,2.43,Open Ended,7-May-98,S&P BSE SENSEX - TRI,269.14,285.08,165,-4.3,1.44,25,58.59,10.26,9.08,11.21,10.55,59.31,34,255016,88.55,7.1,2.02,Financials,-,-,-,2.92,2.49,4.11,0.95,20.33,Equity : Large Cap,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D
Tata Liquid Fund-Reg(G),Amit Somani,DT-LIQ,4,13108.5,0.33,Open Ended,1-Sep-04,Crisil Liquid Fund Index,3228.71,3228.71,3120.26,0.29,0.79,1.52,3.49,4.81,5.69,6.21,7.65,0,-,-,-,-,-,-,0.09,0.09,3.22,-0.38,-5.62,-5.82,-,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Tata Medium Term Fund-Reg(G),Abhishek Sonthalia,DT-MD,Unrated,69.8,1.4,Open Ended,26-Nov-02,CRISIL Medium Term Debt Index,28.32,28.32,25.71,1.26,0.56,2.26,10.62,-0.04,1.69,3.88,6.23,0,-,-,-,-,-,-,4.14,3.09,6.69,7.51,3.55,6.71,-,2.13,Debt : Medium Duration,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D
Tata Mid Cap Growth Fund(G),Satish Chandra Mishra,EQ-MID,4,1129.3,2.35,Open Ended,1-Jul-94,Nifty Midcap 100 - TRI,193.01,200.83,111.82,-2.95,5.07,31.5,71.3,17.18,11.37,14.8,16.19,31.7,50,27120,22.31,66.27,9.9,Financials,-,-,-,23.06,3.09,5.01,0.7,18.75,Equity : Mid Cap,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D
Tata Money Market Fund-Reg(G),Amit Somani,DT-MM,1,1697.8,0.44,Open Ended,22-May-03,CRISIL Money Market Index,3644.63,3644.63,3446.6,0.48,1.03,1.98,5.77,6.44,4.44,5.44,7.21,0,-,-,-,-,-,-,0.39,0.39,3.68,2.87,5.74,12.15,-,0.5,Debt : Money Market,Nil
Tata Multi Asset Opp Fund-Reg(G),Rahul Singh (Tata),HY-MULTI,Unrated,645.5,2.52,Open Ended,4-Mar-20,S&P BSE 200,13.23,13.5,9.24,-1.41,2.04,18.12,43.18,-,-,-,-,78.77,58,111343,44.42,14.66,5.95,Financials,1.11,0.94,4.05,37.45,3.13,4.97,-,11.99,Hybrid : Multi Asset Allocation,Nil upto 12% of investment and 1% for remaining iinvestment on or before 365D Nil after 365D
Tata Nifty ETF,Sailesh Jain,EQ-ETF,Unrated,296.2,0.08,Open Ended,1-Jan-19,NIFTY 50 - TRI,148.77,156.77,89.47,-3.43,-0.14,22.05,62.97,12.15,-,-,-,23.53,51,350310,99.78,-,-,Financials,-,-,-,5.01,2.64,4.35,0.97,20.31,Equity : ETFs,null
Tata Nifty Pvt Bank ETF,Sailesh Jain,EQ-ETF,Unrated,12.5,0.15,Open Ended,30-Aug-19,Nifty Private Bank - TRI,171.87,199.74,94.85,-10.13,-3.94,31.3,62.65,-,-,-,-,19.39,11,259648,91.72,7.88,-,Financials,-,-,-,-15.83,1.67,2.91,1.46,34.33,Equity : ETFs,null
Tata Overnight Fund-Reg(G),Amit Somani,DT-ON,Unrated,1872.2,0.21,Open Ended,27-Mar-19,CRISIL Overnight Index,1084.83,1084.83,1053.6,0.26,0.74,1.46,2.97,3.98,-,-,-,0,-,-,-,-,-,-,0.01,0.01,3.24,-0.73,-75.4,-12.54,-,0.01,Debt : Overnight,Nil
Tata Quant Fund-Reg(G),Sailesh Jain,EQ-THEM,Unrated,81.5,2.55,Open Ended,22-Jan-20,S&P BSE 200 - TRI,9.94,10.25,7.11,-0.68,5.52,27.02,37.73,-,-,-,-,840.17,30,40559,43.71,51.06,2.97,Financials,-,-,-,1.31,1.83,2.81,0.72,20.39,Equity : Thematic,Nil upto 12% of original cost of invesment and 1% for more than 12% original cost of investment on or before 365D Nil after 365D
Tata Resources & Energy Fund-Reg(G),Satish Chandra Mishra,EQ-POWER,Unrated,72.8,2.67,Open Ended,28-Dec-15,NIFTY COMMODITIES - TRI,22.93,23.91,12.54,0.89,11.29,39.52,83.43,25.22,15.35,16.78,-,96.69,29,43117,53.64,23.88,19.71,Metals,-,-,-,28.07,3.15,5.32,0.77,21.2,Equity : Sectoral - Energy / Power,0.25% on or before 30D
Tata Retirement Sav Fund - Cons Plan(G),Sonam Udasi,HY-SOL,5,167.1,2.27,Open Ended,4-Nov-11,CRISIL Short Term Debt Hybrid 75+25 Fund Index,23.27,23.59,20,-0.84,-1.22,4.38,16.27,8.43,6.81,8.76,-,0,43,157498,23.04,4.78,1,Financials,2.97,2.37,4.82,14.87,2.86,4.71,-,5.24,Hybrid : Solution Oriented,Nil on or after age of 60Y 1% before 61 months from the Date of allotment
Tata Retirement Sav Fund - Mod Plan(G),Sonam Udasi,HY-SOL,4,1360.6,2.2,Open Ended,4-Nov-11,CRISIL Short Term Debt Hybrid 75+25 Fund Index,36.68,38.34,26.08,-3.14,-2.24,11.57,39.05,10,7.48,12.74,-,89.38,43,155059,66.56,13.99,3.1,Financials,-,-,-,36.04,2.52,4.08,-,14.42,Hybrid : Solution Oriented,Nil on or after age of 60Y 1% before 61 months from the Date of allotment
Tata Retirement Sav Fund - Prog Plan(G),Sonam Udasi,HY-SOL,4,995.2,2.33,Open Ended,4-Nov-11,S&P BSE 200 - TRI,36.13,38.09,24.57,-3.78,-2.43,13.07,44.22,11.09,7.69,14.22,-,82.71,43,157993,78.13,15.53,3.5,Financials,-,-,-,40.77,2.47,3.99,-,16.68,Hybrid : Solution Oriented,Nil on or after age of 60Y 1% before 61 months from the Date of allotment
Tata Small Cap Fund-Reg(G),Chandraprakash Padiyar,EQ-SML,Unrated,1003.5,2.37,Open Ended,12-Nov-18,Nifty Smallcap 100 - TRI,15.14,15.59,7.97,-2.73,14.25,39.06,85.47,18.92,-,-,-,21.18,36,4861,-,11.86,78.23,Chemicals,-,-,-,39.51,3.89,6.56,0.54,17.06,Equity : Small Cap,Nil upto 12% of original cost of investments and 1% for more than 12% on or before 12M Nil after 12M
Tata ST Bond Fund(G),Murthy Nagarajan,DT-SD,2,2672.8,1.24,Open Ended,8-Aug-02,Crisil Short Term Bond Fund Index,37.96,38.08,35.14,0.69,-0.02,1.32,8.19,8.1,5.46,6.02,7.62,0,-,-,-,-,-,-,2.85,2.18,4.97,5.24,3.11,5.58,-,1.69,Debt : Short Duration,Nil
Tata Treasury Advantage Fund(G),Akhil Mittal,DT-LOWD,2,1844.4,0.53,Open Ended,6-Sep-05,CRISIL Low Duration Debt Index,3078.89,3078.89,2887.32,0.53,0.79,1.92,6.74,3.99,5.24,6.12,7.66,0,-,-,-,-,-,-,0.78,0.72,4.12,3.86,6.49,15.37,-,0.6,Debt : Low Duration,Nil
Tata Ultra Short Term Fund-Reg(G),Akhil Mittal,DT-USD,Unrated,481.4,1.03,Open Ended,22-Jan-19,CRISIL Ultra Short Term Debt Index,11.28,11.28,10.82,0.34,0.71,1.53,4.29,5.27,-,-,-,0,-,-,-,-,-,-,0.4,0.39,3.79,1.49,4.54,9.96,-,0.33,Debt : Ultra Short Duration,Nil
Tata Value Fund-Sr-1-Reg(G),Sonam Udasi,EQ-VAL,Unrated,934.9,-,Closed Ended,13-Jul-18,S&P BSE 200 - TRI,12.1,12.55,7.85,-2.5,1.65,20.33,49.3,10.55,-,-,-,7,44,99755,66.25,19.98,11.61,Financials,-,-,-,7.91,2.67,4.3,0.73,16.69,Equity : Value / Contra,null
Tata Value Fund-Sr-2-Reg(G),Sonam Udasi,EQ-VAL,Unrated,324.9,-,Closed Ended,3-Aug-18,S&P BSE 200 - TRI,11.64,12.09,7.68,-2.6,0.51,18.73,46.39,10.2,-,-,-,8,42,107947,66.63,23.55,7.03,Financials,-,-,-,5.75,2.55,4.09,0.73,16.53,Equity : Value / Contra,null
Tata Young Citizen Fund,Amey Sathe,HY-SOL,2,228.6,2.55,Open Ended,14-Oct-95,S&P BSE 200 - TRI,33.45,34.76,20.77,-2.71,2.05,23.38,59.09,14.6,7.89,9.89,10.03,46.05,44,132170,73.96,12.85,11.31,Financials,1.86,1.55,5.57,51.06,3,5.01,-,17.1,Hybrid : Solution Oriented,Compulsory Lock-in Option 5Y or till the child attains age of majority (whichever is earlier). 1% - If redeemed before child attains 18Y of age
Taurus Banking & Fin Serv Fund-Reg(G),Prasanna Pathak,EQ-FIN,Unrated,9.2,2.41,Open Ended,22-May-12,S&P BSE BANKEX - TRI,29.94,34.46,17.99,-8.69,-2.57,30.86,53.3,6.58,9.8,14.68,-,51,24,290145,88.22,6.21,1.31,Financials,-,-,-,-13.51,1.71,3.01,1.25,28.48,Equity : Sectoral - Financial Services,0.50% on or before 7D Nil after 7D
Taurus Discovery (Midcap) Fund-Reg(G),Prasanna Pathak,EQ-MID,Unrated,66.1,2.56,Open Ended,5-Sep-94,Nifty Midcap 100 - TRI,60.51,63.11,37.33,-2.12,6.03,26.43,63.1,17.64,9.44,16.04,15.12,102,67,19201,10.72,63.72,20.23,Financials,-,-,-,25.98,3.33,5.31,0.55,16.13,Equity : Mid Cap,1% on or before 365D Nil after 365D
Taurus Ethical Fund-Reg(G),Prasanna Pathak,EQ-MLC,Unrated,54,2.55,Open Ended,20-Mar-09,S&P BSE 500 Shariah - TRI,70.97,73.59,46.51,0.52,1.72,16.98,52.92,17.71,12.23,13.22,11.54,81,63,49750,45.78,34.2,16.45,Technology,-,-,-,21.5,3.23,5.32,0.51,14.5,Equity : Multi Cap,1% on or before 365D Nil after 365D
Taurus Flexi Cap Fund-Reg(G),Prasanna Pathak,EQ-MLC,1,235.5,2.65,Open Ended,29-Jan-94,S&P BSE 500 - TRI,124.9,129.24,82.56,-1.96,0.22,17.35,49.49,4.48,3.23,8.21,7.56,125,63,130530,65.83,10.92,18.91,Financials,-,-,2.9,5.27,2.62,4.22,0.78,16.89,Equity : Multi Cap,1% on or before 365D Nil after 365D
Taurus Infrastructure Fund-Reg(G),Prasanna Pathak,EQ-INFRA,Unrated,4.4,2.45,Open Ended,5-Mar-07,NIFTY INFRA - TRI,32.03,33.29,19.8,0.09,10.64,36.3,62.34,12.54,6.65,14.48,8.89,78,48,40672,37.48,34,24.42,Energy,-,-,-,22.08,3.25,5.45,0.65,16.77,Equity : Sectoral - Infrastructure,0.50% on or before 7D Nil after 7D
Taurus Largecap Equity Fund-Reg(G),Prasanna Pathak,EQ-LC,Unrated,29.2,2.62,Open Ended,28-Feb-95,S&P BSE 100 - TRI,87.16,91.77,58.06,-2.46,-1.67,15.86,48.84,7.62,6.65,8.96,7.07,112,48,238869,85.86,3.77,6,Financials,-,-,-,2.62,2.49,4.04,0.82,17.62,Equity : Large Cap,1% on or before 365D Nil after 365D
Taurus Nifty Index Fund-Reg(G),Prasanna Pathak,EQ-INDX,Unrated,1.3,1.09,Open Ended,10-Jun-10,NIFTY 50 - TRI,27.61,29.06,16.61,-3.37,0.43,22.88,62.59,11.78,12.16,13.6,9.41,6,50,315207,96.22,-,-,Financials,-,-,-,6.48,2.7,4.39,0.94,19.77,Equity : Index Funds,0.50% on or before 7D Nil after 7D
Taurus Tax Shield Fund-Reg(G),Prasanna Pathak,EQ-ELSS,Unrated,74.8,2.51,Open Ended,31-Mar-96,S&P BSE 200 - TRI,95.18,99.39,63.15,-2.86,-0.92,15.48,50.32,8.88,7.24,13.39,10.04,123,61,136466,66.04,15.64,13.85,Financials,-,-,-,6.7,2.67,4.24,0.75,16.57,Equity : Tax Saving (ELSS),Nil
Templeton India Equity Income Fund(G),Lakshmikanth Reddy,EQ-DIV,Unrated,1000.4,2.35,Open Ended,18-May-06,NIFTY DIV OPPS 50,63.78,65.03,35.4,-0.78,5,34.85,77.97,15.15,9.85,14.17,11.5,19.66,49,53316,42.08,19.44,18.39,Energy,-,-,-,30.87,3.81,6.34,0.61,16.06,Equity : Thematic - Dividend Yield,1% on or before 1Y
Templeton India Value Fund(G),Lakshmikanth Reddy,EQ-VAL,2,507.1,2.53,Open Ended,5-Sep-03,S&P BSE 500,309.02,334.66,165.05,-5.9,4.47,41.79,80.22,7.8,4.85,11.32,9.66,40.34,33,89296,69.88,10.53,14.95,Financials,-,-,-,16.96,2.91,4.68,0.96,22.3,Equity : Value / Contra,1% on or before 1Y
TRUSTMF Banking & PSU Debt Fund-Reg(G),Anand Nevatia,DT-B&PSU,Unrated,611.6,0.73,Open Ended,1-Feb-21,CRISIL Banking and PSU Debt Index,1005.15,1005.15,991.92,1.05,-,-,-,-,-,-,-,0,-,-,-,-,-,-,3.38,2.86,5.87,-,-,-,-,-,Debt : Banking & PSU,Nil
TRUSTMF Liquid Fund-Reg(G),Anand Nevatia,DT-LIQ,Unrated,-,-,Open Ended,-,Crisil Liquid Fund Index,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Union Arbitrage Fund-Reg(G),Vishal Thakker,HY-ARB,Unrated,66.5,0.98,Open Ended,20-Feb-19,Nifty 50 Arbitrage Index,11.09,11.09,10.7,0.56,0.96,1.61,3.61,4.93,-,-,-,0,68,70770,47.17,18.26,2.18,Financials,1.76,1.53,4.27,0.58,0.46,0.76,-,1.15,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M
Union Balanced Advantage Fund-Reg(G),Vinay Paharia,HY-DYN,2,841.8,2.37,Open Ended,29-Dec-17,S&P BSE Sensex 50,13.89,14.1,9.84,-0.86,-0.57,10.68,39.74,14.26,11.31,-,-,0,88,167289,59.52,6.24,0.58,Financials,2.7,2.31,4.92,34.07,2.61,4.2,-,13.19,Hybrid : Dynamic Asset Allocation,1% on or before 15D Nil after 15D
Union Corporate Bond Fund-Reg(G),Parijat Agrawal,DT-CORP,Unrated,378.2,0.91,Open Ended,25-May-18,CRISIL Corporate Bond Composite Index,12.04,12.1,11.02,1,-0.13,1.69,9.61,6.18,-,-,-,0,-,-,-,-,-,-,2.83,2.43,5.09,6.5,2.96,5.37,-,2.23,Debt : Corporate Bond,1% on or before 15D Nil after 15D
Union Dynamic Bond(G),Parijat Agrawal,DT-DYN,3,141.8,1.5,Open Ended,13-Feb-12,Crisil Composite Bond Fund Index,18.83,19.04,17.5,1.79,-0.6,0.58,8.32,9.22,7.81,6.72,-,0,-,-,-,-,-,-,5.8,4.36,5.68,5.47,1.72,3.03,-,3.18,Debt : Dynamic Bond,1% on or before 15D Nil after 15D
Union Equity Savings Fund-Reg(G),Vinay Paharia,HY-EQ,Unrated,168.9,2.01,Open Ended,9-Aug-18,CRISIL Short Term Debt Hybrid 75+25 Fund Index,12.36,12.54,10.17,-0.88,-0.32,6.92,21.3,8.73,-,-,-,0,79,130400,57.46,9.09,1.15,Financials,1.37,1.19,4.25,18.3,2.63,4.35,-,7.01,Hybrid : Equity Oriented,1% on or before 15D Nil after 15D
Union Flexi Cap Fund-Reg(G),Vinay Paharia,EQ-MLC,4,481.9,2.56,Open Ended,10-Jun-11,S&P BSE 500 - TRI,26.41,27.64,16.19,-3.44,1.23,22.27,61.23,15.69,12.04,13.11,-,39,65,101467,64.31,18.72,11.42,Financials,-,-,-,11.04,2.95,4.85,0.83,17.81,Equity : Multi Cap,1% on or before 15D Nil after 15D
Union Focused Fund-Reg(G),Vinay Paharia,EQ-MLC,Unrated,189.8,2.52,Open Ended,5-Aug-19,S&P BSE 500 - TRI,14.44,15.23,8.89,-4.18,1.26,21.65,60.44,-,-,-,-,64,24,73848,67.23,14.3,9.25,Financials,-,-,-,9.93,2.82,4.81,0.85,18.53,Equity : Multi Cap,1% on or before 15D Nil after 15D
